algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg4_1, 638.849801, 119999847.574196, 668755.226531, 172815.216915, 799962, 4617848, 150.006935, 0.835984, 5.772584, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.130654, 0.049196, 0.373890, 0.267861, 39.522252, 0.201197, 0.173694, 38.991317, 72.710898, 0.004843]", 2110094.589375, 2.637744, 0.216029, 636049.624423, 0.795100, 169378.820817, 0.211734, 5396043.194758, 6.745374, 93662918.564131
alg_drexlb, 3.966849, 119999997.905922, 668756.312008, 264154.404268, 705410, 2355746, 170.113832, 0.948039, 3.339542, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.375386, 0.375971, 0.073510, 0.115272, 0.008245, 0.152654, 0.160626, 0.373139, 0.457456, 0.001827]", 1911143.148713, 2.709266, 0.374469, 636050.589051, 0.901675, 255873.581372, 0.362730, 3815042.979595, 5.408263, 82589001.856738
alg1_c, 2.676394, 116000017.830704, 647282.279124, 120995.727153, 777242, 6714086, 149.245689, 0.832794, 8.638347, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.114923, 1999990.381589, 0.114923, 0.041374, 0.391502, 0.349050, 1999990.381589, 0.035561, 0.009744, 0.349050]", 2132222.051726, 2.743318, 0.155673, 615195.077164, 0.791510, 118907.618541, 0.152987, 6015754.923345, 7.739874, 91000014.162451
least_used_node, 1.157911, 119999996.855741, 668756.306431, 280047.864567, 679659, 2049867, 176.559123, 0.983959, 3.016023, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.353054, 0.422201, 0.323600, 0.170726, 0.671650, 0.205700, 0.253114, 0.207906, 0.511144, 0.025163]", 1861029.714623, 2.738182, 0.412042, 636050.583670, 0.935838, 271067.679686, 0.398829, 3537446.721394, 5.204738, 79575913.754540
hdfs_rs_3_2_c, 0.529810, 89999998.561840, 462354.225442, 110119.886816, 461224, 2306120, 195.132947, 1.002450, 5.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.157116, 0.422339, 0.157116, 0.191758, 0.191758, 6000000.095874, 10000000.095875, 4000000.130516, 0.130516, 9999999.865294]", 1432594.138019, 3.106070, 0.238756, 432665.906267, 0.938082, 104065.381782, 0.225629, 2646486.143361, 5.737963, 53999999.137105
glusterfs_6_4_c, 0.632674, 83999998.107546, 412320.186099, 81015.035939, 478311, 2869866, 175.617952, 0.862034, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.315409, 2000000.315409, 0.315409, 0.316753, 0.316753, 0.316753, 13999999.998656, 5999999.998656, 1999999.998656, 12000000.000000]", 1447958.994201, 3.027233, 0.169377, 387132.172488, 0.809373, 78529.655811, 0.164181, 2997862.668514, 6.267601, 55999998.738364
hdfs_rs_6_3_c, 0.756087, 71999998.099480, 397851.425714, 72077.920160, 409962, 3689658, 175.626029, 0.970459, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[6000000.211168, 8000000.211167, 6000000.211168, 4000000.211168, 4000000.211168, 4000000.211168, 8000000.211167, 0.211169, 0.013953, 8000000.197215]", 1362622.871803, 3.323778, 0.175816, 376338.555814, 0.917984, 65789.471818, 0.160477, 3005448.842083, 7.331042, 47999998.732987
daos_1_0_c, 1.705592, 39999999.277564, 234964.674911, 36363.635707, 273342, 2733420, 146.336821, 0.859600, 10.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[10000000.072244, 12000000.072244, 10000000.072244, 8000000.072244, 8000000.072244, 8000000.072244, 12000000.072244, 4000000.072244, 0.072244, 8000000.072244]", 741244.467359, 2.711784, 0.133033, 221064.015788, 0.808745, 35714.285069, 0.130658, 2292171.112570, 8.385726, 31999999.422051
