id,size,Relative Time (s),time_spent,access_type
1,0.0016803741455078125,0,0,2
2,0.0009250640869140625,9,0,2
3,50629.37180042267,11,0,2
4,59007.40514087677,13,0,2
5,0.000385284423828125,16,0,2
6,1.4146928787231445,23,0,2
5,0.000385284423828125,23,0,1
7,24.344404220581055,37,0,2
8,6592.832158088684,40,0,2
9,0.11797046661376953,47,0,2
10,0.011612892150878906,65,0,2
11,0.0016584396362304688,66,0,2
12,0.06365299224853516,66,0,2
13,0.0021543502807617188,66,0,2
14,0.015084266662597656,66,0,2
15,0.04900836944580078,67,0,2
16,12.37533187866211,74,0,2
17,0.000377655029296875,75,0,2
18,235918.74060630798,76,0,2
19,0.014689445495605469,79,0,2
20,0.0002880096435546875,81,0,2
21,100636.18716239929,82,0,2
20,0.0002880096435546875,83,0,1
21,100636.18716239929,83,0,1
22,180627.66549491882,105,0,2
23,0.009454727172851562,107,0,2
22,180627.66549491882,108,0,1
24,1.0141382217407227,108,0,2
25,0.721531867980957,109,0,2
26,0.006283760070800781,110,0,2
27,0.0036497116088867188,110,0,2
28,13.07524585723877,114,0,2
29,45.951294898986816,117,0,2
5,0.000385284423828125,118,0,1
5,0.000385284423828125,121,0,1
30,9.5367431640625e-07,123,0,2
22,180627.66549491882,135,0,1
31,56905.15432357788,141,0,2
22,180627.66549491882,145,0,1
32,0.044899940490722656,146,0,2
22,180627.66549491882,147,0,1
30,9.5367431640625e-07,148,0,1
22,180627.66549491882,157,0,1
22,180627.66549491882,157,0,1
22,180627.66549491882,158,0,1
33,0.0036954879760742188,169,0,2
34,0.0018739700317382812,170,0,2
35,304.3850154876709,171,0,2
36,82.57263278961182,172,0,2
37,73721.01718425751,180,0,2
38,79666.22536277771,181,0,2
39,70072.62341022491,181,0,2
40,74793.2304019928,181,0,2
41,0.47174644470214844,182,0,2
20,0.0002880096435546875,182,0,1
20,0.0002880096435546875,183,0,1
42,61327.54895591736,184,0,2
43,0.4295072555541992,186,0,2
44,74725.38985061646,186,0,2
45,81833.33920669556,188,0,2
46,1043.456446647644,196,0,2
47,0.6396160125732422,221,0,2
48,445451.3784790039,221,0,2
49,26.60834312438965,221,0,2
50,0.0020551681518554688,222,0,2
5,0.000385284423828125,224,0,1
51,3.4191694259643555,231,0,2
52,3.2476425170898438,232,0,2
53,10.665480613708496,232,0,2
43,0.4295072555541992,237,0,1
54,4.037049293518066,237,0,2
55,14323.1842212677,239,0,2
5,0.000385284423828125,258,0,1
56,7.465808868408203,259,0,2
20,0.0002880096435546875,274,0,1
57,87.6868085861206,281,0,2
58,0.0005140304565429688,290,0,2
20,0.0002880096435546875,305,0,1
49,26.60834312438965,308,0,1
5,0.000385284423828125,318,0,1
59,1589.5198812484741,319,0,2
60,3817.0525674819946,321,0,2
61,56048.673025131226,327,0,2
62,0.20949840545654297,332,0,2
63,6197.582957267761,334,0,2
63,6197.582957267761,338,0,1
64,6197.587115287781,345,0,2
5,0.000385284423828125,348,0,1
64,6197.587115287781,352,0,1
63,6197.582957267761,353,0,1
63,6197.582957267761,360,0,1
30,9.5367431640625e-07,362,0,1
65,1164.6816682815552,364,0,2
63,6197.582957267761,365,0,1
63,6197.582957267761,371,0,1
20,0.0002880096435546875,377,0,1
66,27.01454734802246,379,0,2
30,9.5367431640625e-07,388,0,1
67,16.98379611968994,392,0,2
68,17.405254364013672,396,0,2
20,0.0002880096435546875,397,0,1
69,4.450741767883301,402,0,2
70,2.254505157470703,404,0,2
71,0.00591278076171875,406,0,2
72,0.20801162719726562,410,0,2
73,209.2103977203369,411,0,2
74,20.60415267944336,411,0,2
5,0.000385284423828125,414,0,1
75,268.43421745300293,426,0,2
5,0.000385284423828125,438,0,1
76,15.096419334411621,444,0,2
77,238043.9733686447,444,0,2
48,445451.3784790039,447,0,1
54,4.037049293518066,454,0,1
78,187.95823001861572,455,0,2
20,0.0002880096435546875,457,0,1
79,1.0212020874023438,463,0,2
80,0.02151012420654297,465,0,2
81,745098.9135713577,469,0,2
82,16.48841381072998,471,0,2
83,12.417476654052734,472,0,2
84,10.62136173248291,472,0,2
85,3555.3649139404297,473,0,2
86,2267.520842552185,476,0,2
20,0.0002880096435546875,487,0,1
87,103.18253993988037,487,0,2
88,152989.88879680634,490,0,2
89,16.967880249023438,505,0,2
90,17.99044132232666,506,0,2
91,17.684346199035645,506,0,2
92,0.44033241271972656,514,0,2
5,0.000385284423828125,521,0,1
93,1516.994556427002,522,0,2
94,10.62936019897461,523,0,2
95,637148.077917099,533,0,2
96,0.4020700454711914,533,0,2
97,0.14183521270751953,536,0,2
98,37878.4430103302,539,0,2
99,134.04080295562744,551,0,2
100,17563.453840255737,551,0,2
101,0.0024318695068359375,557,0,2
102,377.9868803024292,560,0,2
103,229026.16953277588,565,0,2
104,18.07312297821045,566,0,2
20,0.0002880096435546875,569,0,1
5,0.000385284423828125,576,0,1
105,7621.7963790893555,576,0,2
106,0.0010318756103515625,581,0,2
107,528.9131088256836,587,0,2
108,219955.80956935883,593,0,2
109,5.44200325012207,593,0,2
30,9.5367431640625e-07,600,0,1
110,5.518857955932617,602,0,2
5,0.000385284423828125,606,0,1
111,219399.7772245407,608,0,2
112,201595.82001113892,621,0,2
20,0.0002880096435546875,622,0,1
30,9.5367431640625e-07,628,0,1
87,103.18253993988037,629,0,1
113,229641.20039367676,638,0,2
114,51021.62731266022,645,0,2
115,445.79806900024414,646,0,2
20,0.0002880096435546875,649,0,1
5,0.000385284423828125,665,0,1
