id,size,Relative Time (s),time_spent,access_type
1,0.3914670944213867,0,0,2
2,0.049224853515625,103,0,2
3,1000.0883445739746,112,0,2
4,0.009765625,131,0,2
5,23.662696838378906,148,0,2
6,7.2479248046875e-05,160,0,2
7,0.00010395050048828125,161,0,2
8,8.96453857421875e-05,161,0,2
9,0.0001983642578125,163,0,2
10,3451.1681423187256,164,0,2
11,0.004681587219238281,166,0,2
12,10848.284240722656,169,0,2
13,2285.1649780273438,179,0,2
14,37189.41334152222,182,0,2
15,0.04833984375,199,0,2
16,0.00368499755859375,251,0,2
17,0.000377655029296875,262,0,2
18,2397.1424674987793,266,0,2
19,107.00716876983643,304,0,2
20,0.2441244125366211,326,0,2
21,0.049282073974609375,334,0,2
22,3868.282464981079,335,0,2
9,0.0001983642578125,367,0,1
23,0.00402069091796875,382,0,2
24,120.94161796569824,428,0,2
25,87589.22019958496,453,0,2
26,42.01416206359863,460,0,2
27,75392.68696975708,465,0,2
28,1322.8034772872925,496,0,2
29,0.00365447998046875,504,0,2
30,0.42305946350097656,548,0,2
31,453.2764415740967,556,0,2
32,9.918212890625e-05,565,0,2
33,0.04929161071777344,567,0,2
34,9194.81212234497,613,0,2
35,0.3545083999633789,633,0,2
32,9.918212890625e-05,635,0,1
36,0.0492095947265625,665,0,2
37,0.00383758544921875,672,0,2
38,0.0005397796630859375,693,0,2
39,432.1414737701416,699,0,2
40,0.4649190902709961,700,0,2
36,0.0492095947265625,735,0,1
41,8.58306884765625e-06,753,0,2
42,0.00377655029296875,764,0,2
43,22.378557205200195,770,0,2
44,3479.3462324142456,772,0,2
45,61.60077095031738,793,0,2
46,3479.8637924194336,798,0,2
36,0.0492095947265625,818,0,1
47,14.015666007995605,827,0,2
48,0.253875732421875,856,0,2
49,6286.089464187622,881,0,2
50,17.72532367706299,894,0,2
51,0.0042858123779296875,927,0,2
4,0.009765625,938,0,1
36,0.0492095947265625,944,0,1
52,0.0,1000,0,2
52,0.0,1028,0,1
53,2151.933401107788,1038,0,2
32,9.918212890625e-05,1080,0,1
36,0.0492095947265625,1109,0,1
54,0.0004787445068359375,1132,0,2
55,333.1308994293213,1148,0,2
56,0.00020599365234375,1161,0,2
57,589.7682161331177,1210,0,2
58,0.06722450256347656,1249,0,2
36,0.0492095947265625,1255,0,1
32,9.918212890625e-05,1311,0,1
59,8.869171142578125e-05,1317,0,2
60,6.67572021484375e-06,1327,0,2
4,0.009765625,1338,0,1
32,9.918212890625e-05,1356,0,1
61,9.250640869140625e-05,1357,0,2
62,0.00010013580322265625,1372,0,2
32,9.918212890625e-05,1375,0,1
36,0.0492095947265625,1388,0,1
60,6.67572021484375e-06,1389,0,1
63,11.120458602905273,1397,0,2
64,3689.768316268921,1398,0,2
65,4.945666313171387,1399,0,2
66,51611.707036972046,1399,0,2
67,2086.879602432251,1400,0,2
68,0.043949127197265625,1401,0,2
69,49.28761100769043,1401,0,2
32,9.918212890625e-05,1402,0,1
70,272.2666311264038,1404,0,2
32,9.918212890625e-05,1413,0,1
32,9.918212890625e-05,1425,0,1
32,9.918212890625e-05,1439,0,1
71,0.000102996826171875,1442,0,2
32,9.918212890625e-05,1471,0,1
4,0.009765625,1493,0,1
60,6.67572021484375e-06,1499,0,1
72,0.00037670135498046875,1536,0,2
73,0.008411407470703125,1544,0,2
74,0.0001049041748046875,1545,0,2
75,416.48945331573486,1549,0,2
36,0.0492095947265625,1588,0,1
76,5.7220458984375e-06,1595,0,2
52,0.0,1608,0,1
4,0.009765625,1641,0,1
77,9.822845458984375e-05,1652,0,2
61,9.250640869140625e-05,1660,0,1
78,0.00019741058349609375,1672,0,2
60,6.67572021484375e-06,1675,0,1
79,0.4848146438598633,1680,0,2
80,0.0001068115234375,1721,0,2
33,0.04929161071777344,1728,0,1
47,14.015666007995605,1730,0,1
76,5.7220458984375e-06,1741,0,1
81,0.0001087188720703125,1785,0,2
82,8.20159912109375e-05,1786,0,2
83,4.76837158203125e-06,1794,0,2
84,0.0077648162841796875,1802,0,2
32,9.918212890625e-05,1826,0,1
85,0.007815361022949219,1854,0,2
71,0.000102996826171875,1859,0,1
36,0.0492095947265625,1860,0,1
60,6.67572021484375e-06,1878,0,1
86,0.4926605224609375,1900,0,2
32,9.918212890625e-05,1916,0,1
74,0.0001049041748046875,1930,0,1
87,0.0001201629638671875,1944,0,2
60,6.67572021484375e-06,1948,0,1
8,8.96453857421875e-05,1963,0,1
88,5.91278076171875e-05,1966,0,2
89,18141.009492874146,1971,0,2
90,0.0003814697265625,1984,0,2
91,39073.691078186035,1986,0,2
92,3874.274158477783,1987,0,2
93,3406.768132209778,1988,0,2
94,10788.030207633972,1988,0,2
95,13487.672640800476,1989,0,2
96,8894.9664144516,1992,0,2
97,4675.694727897644,1994,0,2
98,2920.830735206604,1997,0,2
32,9.918212890625e-05,1999,0,1
80,0.0001068115234375,2002,0,1
36,0.0492095947265625,2013,0,1
99,3949.0392742156982,2020,0,2
