ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
76,73.099998,0.624106,0.097467,2.088374,9,6,0.622541,0.105029,4.668559
77,7.600000,0.064887,0.010133,0.217754,9,6,0.064724,0.010920,0.473367
78,63.900002,0.545559,0.085200,1.825542,9,6,0.544191,0.091810,4.080998
79,1.800000,0.015368,0.002400,0.051424,9,6,0.015329,0.002586,0.114958
80,85.300003,0.728266,0.113733,2.421866,9,6,0.726439,0.122557,5.268467
81,118.500000,1.011717,0.158000,3.364491,9,6,1.009180,0.170259,7.319030
82,164.399994,1.403598,0.219200,4.662017,9,6,1.400078,0.236207,10.414287
83,2.300000,0.019637,0.003067,0.065223,9,6,0.019587,0.003305,0.145699
84,160.300003,1.368593,0.213733,4.545751,9,6,1.365161,0.230316,10.154564
85,71.000000,0.606177,0.094667,2.028380,9,6,0.604656,0.102011,4.534442
86,191.399994,1.634116,0.255200,5.427677,9,6,1.630017,0.275000,12.124663
87,124.199997,1.060382,0.165600,3.526328,9,6,1.057723,0.178448,7.671085
88,214.600006,1.832190,0.286133,6.085578,9,6,1.827595,0.308333,13.594320
89,122.099998,1.042453,0.162800,3.466704,9,6,1.039839,0.175431,7.541381
90,2.100000,0.017929,0.002800,0.059624,9,6,0.017884,0.003017,0.129704
91,193.399994,1.651191,0.257867,5.484392,9,6,1.647050,0.277874,12.251358
92,121.599998,1.038184,0.162133,3.452508,9,6,1.035581,0.174713,7.510499
93,199.199997,1.700710,0.265600,5.648868,9,6,1.696444,0.286207,12.618772
94,70.199997,0.599346,0.093600,2.005525,9,6,0.597843,0.100862,4.483349
95,51.400002,0.438838,0.068533,1.468433,9,6,0.437737,0.073851,3.282680
96,62.700001,0.535314,0.083600,1.791259,9,6,0.533971,0.090086,4.004359
97,135.899994,1.160273,0.181200,3.858518,9,6,1.157363,0.195259,8.393723
98,73.099998,0.624106,0.097467,2.088374,9,6,0.622541,0.105029,4.668559
99,161.300003,1.377131,0.215067,4.574108,9,6,1.373677,0.231753,10.217911
100,73.699997,0.629228,0.098267,2.105515,9,6,0.627650,0.105891,4.706878
101,188.300003,1.607649,0.251067,5.339768,9,6,1.603617,0.270546,11.928287
102,2.200000,0.018783,0.002933,0.062387,9,6,0.018736,0.003161,0.139364
103,155.699997,1.329320,0.207600,4.415305,9,6,1.325986,0.223707,9.863166
104,121.099998,1.033915,0.161467,3.438311,9,6,1.031322,0.173994,7.479617
105,187.199997,1.598257,0.249600,5.308574,9,6,1.594249,0.268966,11.858605
106,213.899994,1.826214,0.285200,6.065727,9,6,1.821634,0.307328,13.549976
107,52.099998,0.444814,0.069467,1.488431,9,6,0.443699,0.074856,3.327386
108,131.199997,1.120146,0.174933,3.725074,9,6,1.117337,0.188506,8.103433
109,2.100000,0.017929,0.002800,0.059624,9,6,0.017884,0.003017,0.129704
110,191.500000,1.634969,0.255333,5.430513,9,6,1.630869,0.275144,12.130998
111,121.000000,1.033062,0.161333,3.435472,9,6,1.030471,0.173851,7.473440
112,49.400002,0.421762,0.065867,1.411295,9,6,0.420705,0.070977,3.154950
113,137.300003,1.172226,0.183067,3.898267,9,6,1.169286,0.197270,8.480193
114,72.300003,0.617276,0.096400,2.065519,9,6,0.615728,0.103879,4.617467
115,73.800003,0.630082,0.098400,2.108372,9,6,0.628502,0.106034,4.713265
