algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg4_1, 657.579857, 119999924.246971, 668755.700305, 149171.404757, 576334, 3899160, 208.212468, 1.160361, 6.765452, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.156240, 0.339102, 0.106148, 0.731738, 12.686726, 0.100880, 0.059305, 0.236466, 49.972720, 11.363721]", 1983820.758741, 3.442137, 0.258828, 636050.052359, 1.103614, 145625.768605, 0.252676, 3629854.520068, 6.298179, 67474389.646291
alg_drexlb, 7.030571, 119999996.802857, 668756.307061, 171575.197829, 468297, 2681415, 256.247631, 1.428060, 5.725885, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.229689, 0.381969, 0.414480, 0.331355, 0.333648, 0.227634, 1.032678, 0.139679, 0.060613, 0.045401]", 1670526.204812, 3.567237, 0.366381, 636050.583482, 1.358220, 166712.799127, 0.355998, 2655526.543272, 5.670603, 54828428.837634
alg1_c, 5.340228, 112000062.510340, 628179.000450, 115188.606610, 589361, 5124942, 190.036434, 1.065865, 8.695760, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[999984.057735, 2999984.057737, 999984.057735, 0.188403, 0.128416, 0.488418, 2999984.057737, 0.321190, 0.013896, 0.118404]", 2082130.762605, 3.532861, 0.195447, 597353.905605, 1.013562, 113025.326984, 0.191776, 4117485.353792, 6.986355, 69000029.047438
least_used_node, 3.408371, 119999999.265840, 668756.320082, 192423.465958, 410362, 2049898, 292.424735, 1.629674, 4.995341, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.056624, 0.055305, 0.107761, 0.108327, 0.108622, 0.107590, 0.055886, 0.011453, 0.013972, 0.108619]", 1492378.071641, 3.636736, 0.468912, 636050.596030, 1.549974, 184019.093961, 0.448431, 2138730.794291, 5.211815, 48044031.733071
hdfs_rs_3_2_c, 1.403559, 0.000000, 0.000000, 0.000000, 0, 0, -nan, -nan, -nan, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 0.000000, -nan, -nan, 0.000000, -nan, 0.000000, -nan, 0.000000, -nan, 0.000000
glusterfs_6_4_c, 1.375064, 0.000000, 0.000000, 0.000000, 0, 0, -nan, -nan, -nan, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 0.000000, -nan, -nan, 0.000000, -nan, 0.000000, -nan, 0.000000, -nan, 0.000000
hdfs_rs_6_3_c, 1.599962, 0.000000, 0.000000, 0.000000, 0, 0, -nan, -nan, -nan, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 0.000000, -nan, -nan, 0.000000, -nan, 0.000000, -nan, 0.000000, -nan, 0.000000
daos_1_0_c, 1.345923, 48599565.628671, 221474.783909, 61690.345030, 170175, 680700, 285.585812, 1.301453, 4.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[1850108.592832, 3850108.592832, 1850108.592832, 0.291723, 11850108.301109, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 385802.563717, 2.267093, 0.362511, 204858.888502, 1.203813, 60147.977263, 0.353448, 485900.073620, 2.855296, 12149891.407168
