ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
177160,508.578278,3.319387,0.513715,9.529336,10,9,3.123010,0.504542,38.589291
177161,525.322388,4.682199,0.795943,14.978117,9,6,4.375498,0.781730,32.256760
177162,93.043312,0.780782,0.120835,2.580840,10,7,0.734590,0.118678,6.162620
177163,301.535919,2.214072,0.342654,7.020394,10,8,2.083086,0.336536,21.419723
177164,793.222717,5.177203,0.801235,14.862777,10,9,4.870917,0.786927,60.187200
177165,568.770142,4.772889,0.738663,15.827182,10,7,4.490522,0.725472,37.649167
177166,686.903687,4.804887,1.248916,14.753347,6,5,4.739613,1.226614,38.958286
177167,176.014923,1.520642,0.320027,4.434721,7,5,1.404166,0.314312,10.349343
177168,14.723045,0.106850,0.032864,0.326905,5,4,0.095910,0.027675,0.782405
177169,789.352722,6.218958,1.409558,20.000418,7,5,5.767565,1.186997,44.728388
177170,6.756267,0.083550,0.020474,0.206524,6,3,0.076583,0.020108,0.329363
177171,262.516602,1.889962,0.397752,5.419741,7,6,1.745197,0.390650,16.632117
177172,634.383545,5.323490,0.823875,17.653008,10,7,5.008549,0.809163,41.992380
177173,188.767960,1.432116,0.343214,4.028105,6,5,1.306150,0.337086,11.100065
177174,429.844788,2.897878,0.488460,8.348624,9,8,2.703482,0.479737,30.556181
177175,666.459839,4.349848,0.673192,12.487595,10,9,4.092508,0.661170,50.568838
177176,106.968903,0.886303,0.194489,2.688750,7,5,0.817463,0.191016,6.121379
177177,415.981812,3.543812,0.756331,10.540041,7,5,3.290183,0.742825,23.571460
177178,581.352295,4.878473,0.755003,16.177306,10,7,4.589860,0.741521,38.482030
177179,351.491821,2.319353,0.399423,6.826820,9,8,2.169744,0.392290,24.986339
177180,728.482239,6.113128,0.946081,20.271495,10,7,5.751472,0.929187,48.221148
177181,779.170593,5.085488,0.787041,14.599479,10,9,4.784627,0.772987,59.120970
177182,329.925812,2.586688,0.599865,7.086161,6,5,2.445947,0.589153,18.712003
177183,756.247559,4.935874,0.763886,14.169966,10,9,4.643865,0.750246,57.381643
177184,504.147675,4.230603,0.654737,14.028931,10,7,3.980318,0.643046,33.371548
177185,755.774597,5.617366,0.921676,19.149624,7,5,5.495325,0.889147,42.825695
177186,731.632141,4.827747,0.831400,14.210063,9,8,4.516333,0.816554,52.009202
