ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
112892,828.400208,5.990979,2.525610,19.495299,3,2,5.507164,2.436471,35.078636
112893,365.558044,3.647738,1.631956,8.602923,3,2,3.345425,1.374278,15.479568
112894,446.405609,5.178490,2.029116,10.505563,3,2,4.765230,1.992882,18.903061
112895,680.710449,5.056160,1.791343,16.019617,3,2,5.032817,1.800821,28.824708
112896,404.654907,3.760226,1.806495,9.523016,3,2,3.209764,1.521259,17.135126
112897,628.193298,7.946890,2.855424,17.208334,4,2,7.731441,2.804434,26.568735
112898,789.215637,7.333728,3.523284,18.573142,3,2,6.260139,2.966976,33.419364
112899,421.950867,3.134154,1.110397,9.930053,3,2,3.119684,1.116272,17.867524
112900,337.439026,2.734921,1.004283,7.941179,3,2,2.646581,0.992468,14.288867
112901,590.690796,5.652544,2.684958,13.901124,3,2,5.542166,2.637012,25.012822
112902,791.668213,6.268514,2.356155,18.630860,3,2,6.228374,2.328436,33.523218
112903,568.453247,9.338865,2.583878,17.765912,5,2,8.440035,2.537738,24.013019
112904,778.106323,5.924966,2.047648,18.311699,3,2,5.734029,2.058482,32.948940
112905,804.129822,11.906499,3.589865,25.131530,5,2,10.714434,3.023044,33.968642
112906,112.425537,1.050239,0.511025,2.606906,3,2,1.035693,0.501900,4.918365
112907,675.711975,6.473915,3.071418,15.901984,3,2,6.476724,3.016571,28.613047
112908,656.092712,9.366015,2.928985,20.504915,5,2,8.303385,2.466514,27.715150
112909,436.471130,3.456025,1.299021,10.271768,3,2,3.433895,1.283739,18.482385
112910,539.996887,7.836054,2.454531,16.876563,5,2,7.726677,2.410700,22.810945
112911,171.334549,1.258662,0.509924,4.012605,3,2,1.134866,0.503925,7.734294
112912,25.178366,0.264102,0.112403,0.591210,3,2,0.242764,0.094656,1.110808
112913,387.754822,5.071806,1.731048,10.621913,4,2,4.689015,1.457725,16.399658
112914,817.884033,13.052407,3.717655,25.561391,5,2,11.901598,3.651268,34.549657
112915,14.606750,0.114590,0.044533,0.342980,3,2,0.112314,0.042961,0.644414
112916,775.700745,6.085350,2.364941,18.255087,3,2,5.964480,2.281473,32.847075
112917,728.140503,5.349083,2.167085,17.135820,3,2,4.822973,2.141590,30.833135
112918,656.407227,6.377065,2.983669,15.447672,3,2,6.275758,2.930389,27.795587
112919,652.168152,7.057217,1.988318,17.865086,4,2,6.932761,1.918142,27.582724
112920,187.289093,2.505886,0.851314,5.108485,4,2,2.229900,0.836112,8.453645
112921,167.979172,2.817021,0.763542,5.229553,5,2,2.649224,0.749907,7.581284
112922,382.094696,3.832849,1.705780,8.992091,3,2,3.496761,1.436446,16.179813
112923,46.858025,0.367600,0.142860,1.106656,3,2,0.360298,0.137818,2.113955
112924,106.288689,1.022957,0.324051,2.880280,4,2,0.948167,0.312614,4.657148
